date,source,destination,distance_km,congestion_index,time_of_day,weather,day_of_week,festival,actual_travel_time_min,road_type,is_synthetic,hotspot
2023-08-23,Borivali,Goregaon,12.23126750920622,0.8285045158602621,07:45,Rain,Tuesday,No,58.1,urban,1,0
2023-05-28,Kurla,Matunga,6.4253575692187095,0.909606912434447,09:14,Rain,Sunday,No,36.9,urban,1,1
2023-02-08,Borivali,Thane,14.64,0.75,11:29,Cloudy,Wednesday,No,41.9,urban,0,0
2024-10-30,Kurla,Byculla,11.900465503834738,0.8384784981144422,18:01,Clear,Thursday,No,49.8,urban,1,0
2022-02-11,Eastern Freeway Start,Mohammad Ali Road,17.84,1.0,10:50,Rain,Friday,No,412.2,congested,0,1
2022-11-13,Lalbaug,Malad,26.342298569154625,0.7741841700755012,01:28,Clear,Monday,No,94.4,urban,1,0
2022-07-26,Girgaon,Andheri,28.34943354050134,0.545257754364613,22:05,Rain,Tuesday,No,47.5,freeway,1,0
2024-04-09,Marine Lines,Dombivli,47.67481965418124,0.8137012469169299,10:06,Clear,Thursday,Gudi Padwa,210.9,urban,1,0
2023-08-31,Kurla,Sion,4.148594826620256,0.9490280894133546,13:42,Cloudy,Wednesday,Janmashtami,54.8,congested,1,1
2022-12-25,Dombivli,Goregaon,38.93,0.46,18:41,Cloudy,Sunday,Christmas/NewYear,58.2,freeway,0,0
2024-04-11,Matunga,Mulund,27.74,0.55,02:10,Cloudy,Thursday,Gudi Padwa,45.4,freeway,0,0
2022-12-04,Crawford Market,Kurla,13.359872241130477,0.928019472568856,07:56,Cloudy,Monday,No,68.0,urban,1,1
2024-09-01,Worli,Mohammad Ali Road,5.315653843037747,1.0,01:39,Heavy Rain,Saturday,Ganesh Chaturthi,36.6,urban,1,1
2023-12-25,Kurla,Mohammad Ali Road,15.57,0.8,23:16,Cloudy,Monday,Christmas/NewYear,49.8,urban,0,0
2023-01-02,Mulund,Byculla,31.394853782917416,0.459576641072406,00:34,Clear,Monday,No,41.0,freeway,1,0
2022-12-04,Airoli,CST,45.05565164702359,0.9752764439045356,03:17,Cloudy,Saturday,No,318.3,congested,1,1
2024-04-10,Fort,Kalyan,66.1,0.74,12:53,Cloudy,Wednesday,Eid,190.9,urban,0,0
2022-06-05,Crawford Market,Colaba,9.53,0.98,19:41,Clear,Sunday,No,91.4,congested,0,1
2024-03-21,Airoli,Vashi,12.315617454107244,0.6854048449155421,05:50,Cloudy,Friday,No,34.4,urban,1,0
2024-07-28,Fort,Lalbaug,7.2564097475614595,0.9615586487617316,20:48,Heavy Rain,Wednesday,No,56.3,urban,1,1
2023-08-15,Byculla,Bhandup,27.5,1.0,21:09,Heavy Rain,Tuesday,Independence Day,412.5,congested,0,1
2022-08-04,Andheri,Bhandup,17.82,0.94,17:19,Heavy Rain,Thursday,No,168.2,urban,0,1
2023-03-23,Belapur,Mulund,24.65,0.78,16:57,Clear,Thursday,Ramadan Evenings,82.0,urban,0,0
2025-01-05,Marine Lines,CST,3.216904793247316,0.8525037515774679,13:47,Cloudy,Wednesday,Christmas/NewYear,16.3,urban,1,0
2022-05-14,Panvel,Bhandup,31.35266204987357,0.8476242667512318,01:12,Cloudy,Thursday,No,237.3,congested,1,0
2024-01-01,Bandra,Dombivli,33.08454574406028,0.5038217539358136,02:47,Fog,Thursday,No,47.7,freeway,1,0
2023-05-01,Lalbaug,Marine Lines,7.94,0.82,13:28,Clear,Monday,No,28.1,urban,0,0
2023-12-01,Worli,Sion,9.788901722980915,0.7048994991345854,21:56,Clear,Sunday,No,27.0,urban,1,0
2024-08-10,Goregaon,Kurla,11.704225908993822,0.8087955095441298,15:25,Clear,Thursday,No,33.8,urban,1,0
2024-05-07,Dombivli,CST,43.61,0.81,15:47,Rain,Tuesday,No,210.6,urban,0,0
2022-09-11,CST,Bandra,15.720697255205492,0.8881050116507107,14:33,Heavy Rain,Wednesday,Ganesh Chaturthi,119.2,urban,1,0
2024-08-13,Thane,Crawford Market,40.59,0.97,04:54,Heavy Rain,Tuesday,No,608.9,congested,0,1
2024-04-11,Byculla,CST,7.4,0.82,13:04,Cloudy,Thursday,Gudi Padwa,21.3,urban,0,0
2024-09-16,Vashi,Eastern Freeway Start,14.92,0.74,04:13,Cloudy,Monday,No,48.7,urban,0,0
2024-08-26,Western Express Highway,Belapur,29.541950282255154,0.5926103256237725,11:34,Heavy Rain,Thursday,Independence Day,59.6,freeway,1,0
2024-05-29,Thane,Western Express Highway,31.80797922705345,0.8963260492549165,05:13,Rain,Monday,No,339.5,congested,1,0
2024-01-11,Bhandup,Worli,28.781006018258942,0.9900172990501036,18:02,Clear,Thursday,No,248.4,urban,1,1
2022-12-16,Malad,Bandra,16.0,0.55,20:50,Rain,Friday,No,28.9,freeway,0,0
2023-09-02,Worli,Kalyan,57.85446341819821,0.9726381986587724,17:36,Rain,Tuesday,Ganesh Chaturthi,383.9,urban,1,1
2022-09-17,Chembur,Powai,10.13,0.79,22:12,Rain,Saturday,No,43.1,urban,0,0
2023-09-20,Dombivli,Goregaon,33.24633061093665,0.8644868724502186,23:59,Rain,Tuesday,Ganesh Chaturthi,204.4,urban,1,0
2024-03-25,Panvel,Colaba,48.42,0.48,08:56,Cloudy,Monday,Holi,64.6,freeway,0,0
2023-03-22,Matunga,Eastern Freeway Start,8.613783567857778,0.8170471161930775,22:54,Cloudy,Thursday,Ramadan Evenings,28.5,urban,1,0
2024-01-07,Matunga,Mulund,27.35383777249033,0.7183664237209014,20:14,Storm,Monday,Christmas/NewYear,51.8,freeway,1,0
2024-03-03,Sion,Crawford Market,12.35,0.73,06:00,Clear,Sunday,No,39.0,urban,0,0
2023-09-24,Lalbaug,Juhu,14.712371177656182,0.8991790232446858,01:54,Cloudy,Sunday,Navratri,116.0,congested,1,0
2023-03-09,Sion,Chembur,6.536653282211881,0.976641528074398,14:43,Clear,Wednesday,Holi,53.6,congested,1,1
2023-10-29,Eastern Freeway Start,Crawford Market,16.667321310094486,0.9619418411368432,12:47,Rain,Sunday,Diwali,111.9,urban,1,1
2024-04-23,Mohammad Ali Road,Worli,6.083019942555314,0.7239308134858026,12:02,Cloudy,Friday,No,17.7,urban,1,0
2024-07-26,Girgaon,Worli,6.257540056009979,0.96227786794065,10:37,Rain,Thursday,Independence Day,93.0,congested,1,1
2022-09-05,Fort,Chembur,23.32,0.84,04:39,Rain,Monday,No,123.5,urban,0,0
2024-04-12,Bhandup,Bandra Kurla Complex,19.02817248969715,0.944641963076355,01:50,Cloudy,Sunday,No,159.0,congested,1,1
2024-03-25,Worli,Panvel,38.677647444551226,0.9237044539887084,12:53,Heavy Rain,Monday,Ramadan Evenings,235.0,urban,1,1
2024-04-23,Malad,Vashi,25.454445630571,0.5820418688952799,07:36,Clear,Wednesday,Eid,42.8,freeway,1,0
2023-06-06,Juhu,Colaba,25.5826164839774,0.39511213260737,05:17,Rain,Friday,No,32.9,freeway,1,0
2024-02-27,Nerul,Mulund,22.380792172125776,0.7187139197838853,04:14,Clear,Thursday,No,70.8,urban,1,0
2024-05-04,Sion,Andheri,11.021566589165534,0.5135168799500618,13:37,Rain,Sunday,No,15.1,freeway,1,0
2022-07-12,Borivali,Dombivli,33.37394056943261,0.9238417614429312,10:26,Rain,Sunday,No,172.4,urban,1,1
2023-10-26,Girgaon,Bhandup,39.54344525376124,0.5376571004691314,10:47,Clear,Monday,No,57.8,freeway,1,0
2024-03-25,CST,Belapur,25.38,0.92,00:22,Heavy Rain,Monday,Holi,91.4,urban,0,1
2023-08-04,Worli,Malad,23.7,0.87,15:07,Rain,Friday,No,94.9,urban,0,0
2023-03-22,Sion,Bhandup,20.48,0.9,10:10,Cloudy,Wednesday,Gudi Padwa,110.4,urban,0,1
2022-11-10,Mulund,Crawford Market,39.17,0.2,22:58,Cloudy,Thursday,No,37.1,freeway,0,0
2024-08-22,Panvel,Malad,38.158213624400304,0.8403531307607008,11:05,Clear,Monday,No,169.7,urban,1,0
2023-12-25,Marine Lines,Fort,2.76,0.93,17:04,Fog,Monday,Christmas/NewYear,22.0,urban,0,1
2024-06-17,Malad,Dadar,25.338056480400613,0.9163140942599493,17:19,Cloudy,Tuesday,No,105.7,urban,1,1
2024-10-03,Mohammad Ali Road,Byculla,5.42,0.78,23:43,Clear,Thursday,Navratri,18.0,urban,0,0
2024-05-27,Chembur,Sion,5.9,0.83,14:06,Clear,Monday,No,18.0,urban,0,0
2023-09-06,Airoli,Powai,16.35,1.0,23:17,Heavy Rain,Wednesday,Janmashtami,245.3,congested,0,1
2024-10-28,Colaba,CST,5.882728278656729,0.7432651850409928,03:13,Cloudy,Thursday,No,16.8,urban,1,0
2022-08-28,Lalbaug,Byculla,1.0160640085950177,0.8566217714716425,06:20,Rain,Saturday,No,3.7,urban,1,0
2024-12-07,Byculla,Dadar,2.89,0.81,21:09,Clear,Saturday,No,8.2,urban,0,0
2024-01-09,Powai,Marine Lines,24.104197923624497,0.9543991114598088,13:20,Rain,Thursday,No,269.3,congested,1,1
2023-04-29,Girgaon,Airoli,37.178225160578044,0.9231660217901052,03:06,Clear,Friday,No,310.1,congested,1,1
2024-04-24,Kurla,Thane,24.20143212535781,0.9306098256143082,05:58,Storm,Thursday,Gudi Padwa,104.8,urban,1,1
2022-07-09,Lalbaug,Panvel,39.31,0.52,15:03,Rain,Saturday,No,56.2,freeway,0,0
2024-08-15,Sion,Colaba,20.97,0.48,23:42,Rain,Thursday,Independence Day,28.7,freeway,0,0
2024-01-10,Ghatkopar,Matunga,12.105588350726691,0.4535599501807431,19:58,Clear,Monday,Christmas/NewYear,19.2,freeway,1,0
2023-04-06,Eastern Freeway Start,Andheri,11.26650043646108,0.973514833300341,02:18,Clear,Sunday,No,92.7,congested,1,1
2022-08-31,Airoli,Nerul,16.84,0.82,09:48,Cloudy,Wednesday,Ganesh Chaturthi,70.8,urban,0,0
2024-03-06,Mohammad Ali Road,Kurla,21.00165740206162,0.8430901582302818,19:33,Cloudy,Monday,Ramadan Evenings,306.6,congested,1,0
2024-08-19,Powai,Nerul,23.10586880032101,0.7676545786035069,11:48,Cloudy,Monday,No,71.5,urban,1,0
2022-03-03,Crawford Market,Matunga,7.298989152981447,0.9355388156169144,10:09,Clear,Friday,Holi,73.2,congested,1,1
2024-07-16,Ghatkopar,Bandra,8.22462445153068,0.8664262489885101,17:17,Clear,Friday,No,31.3,urban,1,0
2023-10-04,Kalyan,Eastern Freeway Start,35.95,0.38,05:01,Cloudy,Wednesday,No,40.3,freeway,0,0
2023-11-12,Chembur,Nerul,17.63,0.92,00:08,Clear,Sunday,Diwali,139.6,congested,0,1
2022-07-22,Malad,Byculla,29.31677046484046,0.8444183873582707,12:47,Heavy Rain,Monday,No,202.3,urban,1,0
2022-10-26,Andheri,Bhandup,16.57,0.84,15:04,Clear,Wednesday,Navratri,51.5,urban,0,0
2023-09-21,Marine Lines,Worli,7.876577538393131,0.8505516975338978,09:35,Clear,Tuesday,No,96.8,congested,1,0
2024-01-20,Bandra Kurla Complex,Airoli,29.5,0.93,08:45,Rain,Saturday,No,154.1,urban,0,1
2024-11-14,Lalbaug,Airoli,39.44005219442317,0.3136787371885984,15:45,Clear,Wednesday,No,37.8,freeway,1,0
2022-08-15,Malad,Byculla,25.59,0.88,04:44,Cloudy,Monday,Independence Day,223.3,congested,0,0
2023-04-05,Juhu,Chembur,11.469575546418373,0.9770232663034448,15:02,Clear,Friday,Eid,100.2,congested,1,1
2022-09-01,Nerul,Eastern Freeway Start,18.593202534138285,0.2304354112364692,15:50,Cloudy,Thursday,No,17.2,freeway,1,0
2023-08-02,Powai,Fort,28.53286550986843,0.986580855789956,17:21,Rain,Wednesday,No,423.0,congested,1,1
2024-07-24,Bhandup,Fort,36.11216799936947,0.9403031838435794,06:33,Heavy Rain,Friday,No,246.9,urban,1,1
2022-03-04,Western Express Highway,Borivali,23.9042776661908,0.4855936201662557,09:18,Clear,Friday,Holi,32.7,freeway,1,0
2022-04-23,Sion,Mohammad Ali Road,11.22,0.8,14:37,Clear,Saturday,No,31.3,urban,0,0
2024-04-25,Belapur,Bhandup,19.692941925868748,1.0,20:17,Heavy Rain,Thursday,Gudi Padwa,268.7,congested,1,1
2023-08-10,Andheri,Ghatkopar,10.557345582081034,0.795695469630546,01:36,Heavy Rain,Tuesday,Independence Day,51.4,urban,1,0
2023-02-08,Girgaon,CST,2.25,0.94,09:13,Clear,Wednesday,No,26.8,congested,0,1
2022-03-18,Matunga,Byculla,4.605598069097589,0.8073231705160375,16:30,Cloudy,Monday,No,14.8,urban,1,0
2022-07-27,Nerul,Girgaon,33.52465211529325,0.6964493878419938,11:27,Heavy Rain,Tuesday,No,94.1,freeway,1,0
2022-05-03,Byculla,Mulund,34.533303180501825,0.8729679436127307,11:12,Clear,Monday,Eid,137.9,urban,1,0
2022-05-18,Airoli,Chembur,19.3459358644002,0.7992899171983534,21:50,Cloudy,Monday,Eid,67.6,urban,1,0
2022-04-16,Malad,Vashi,26.121374535109368,0.9403828743596055,03:44,Clear,Monday,Eid,232.4,congested,1,1
2024-08-07,Panvel,Andheri,36.74,0.5,04:51,Rain,Wednesday,No,49.7,freeway,0,0
2022-08-31,Borivali,Dadar,31.96,0.95,18:07,Heavy Rain,Wednesday,Ganesh Chaturthi,479.4,congested,0,1
2024-06-20,Belapur,Kalyan,34.42,0.49,10:38,Clear,Thursday,No,46.5,freeway,0,0
2023-03-08,Andheri,Eastern Freeway Start,11.94,1.0,11:11,Rain,Wednesday,No,142.4,congested,0,1
2023-03-08,Girgaon,Mulund,38.59,0.4,06:41,Cloudy,Wednesday,Holi,43.7,freeway,0,0
2023-11-29,Powai,Colaba,36.86,0.99,17:33,Clear,Wednesday,No,359.6,congested,0,1
2024-11-18,Worli,Marine Lines,6.654747609371523,0.658794547271107,17:58,Clear,Monday,No,11.1,freeway,1,0
2022-05-12,Colaba,Western Express Highway,21.73,0.74,01:30,Cloudy,Thursday,No,66.2,urban,0,0
2024-04-10,Vashi,Borivali,33.62,0.88,22:40,Clear,Wednesday,Eid,246.5,congested,0,0
2023-05-02,Powai,Belapur,20.220255321875943,0.926764698154598,01:38,Heavy Rain,Friday,Eid,77.2,urban,1,1
2024-09-07,Sion,Western Express Highway,7.523049087879819,0.7778667207147816,01:52,Cloudy,Sunday,No,22.0,urban,1,0
2024-04-03,Sion,Airoli,23.04395831535427,0.8353037557624676,16:12,Cloudy,Monday,No,80.9,urban,1,0
2024-10-03,Powai,Nerul,20.89,0.92,12:10,Clear,Thursday,Navratri,160.0,congested,0,1
2024-12-03,Belapur,Mohammad Ali Road,28.71,0.82,13:33,Clear,Tuesday,No,90.9,urban,0,0
2023-01-02,Malad,Airoli,18.190187154986976,0.9882381860121832,19:31,Cloudy,Saturday,No,199.6,congested,1,1
2023-09-14,Western Express Highway,Goregaon,11.721660953357317,0.7003861002028876,12:39,Clear,Wednesday,Janmashtami,34.1,urban,1,0
2024-06-13,Marine Lines,Borivali,38.4,0.76,08:17,Heavy Rain,Thursday,No,106.6,freeway,0,0
2023-03-19,Girgaon,Malad,35.4749214382922,0.4210638591583981,05:09,Clear,Wednesday,Gudi Padwa,45.5,freeway,1,0
2023-03-22,Dadar,Mohammad Ali Road,9.74,0.87,10:48,Clear,Wednesday,Gudi Padwa,66.0,urban,0,0
2022-10-28,Andheri,Bhandup,17.083143837972507,0.9270778822719836,08:24,Clear,Friday,No,212.1,congested,1,1
2023-02-22,Borivali,Thane,18.42142836884562,0.9814468859194124,22:42,Clear,Wednesday,Holi,150.6,congested,1,1
2023-10-28,Andheri,Byculla,18.18353168416241,0.8483373798622913,04:20,Clear,Tuesday,No,55.7,urban,1,0
2022-12-16,Thane,Dombivli,24.1,0.83,21:21,Rain,Friday,No,115.6,urban,0,0
2022-03-30,Nerul,Fort,32.857450459991696,0.5131402372680305,05:39,Rain,Friday,Holi,47.1,freeway,1,0
2022-03-01,Goregaon,Crawford Market,29.99424163938225,0.876724206033835,08:32,Clear,Saturday,No,115.3,urban,1,0
2024-08-17,Eastern Freeway Start,Byculla,14.21,0.82,20:56,Heavy Rain,Saturday,No,44.8,freeway,0,0
2023-11-12,Thane,Sion,31.562579700499363,0.3374889565372198,14:16,Clear,Sunday,No,33.7,freeway,1,0
2023-06-24,Mohammad Ali Road,Goregaon,30.38,0.76,01:17,Rain,Saturday,No,105.9,urban,0,0
2022-01-15,Nerul,Mulund,20.8021909364174,0.7798998606199687,01:20,Cloudy,Wednesday,No,67.6,urban,1,0
2024-06-12,Mulund,Vashi,13.69,0.76,04:06,Rain,Wednesday,No,42.6,urban,0,0
2024-02-23,Bandra,Matunga,5.557974423102971,1.0,17:04,Cloudy,Tuesday,No,103.6,congested,1,1
2022-06-25,Ghatkopar,Mohammad Ali Road,18.808515407776152,0.9663652089701166,11:03,Heavy Rain,Thursday,No,137.0,urban,1,1
2024-06-02,Lalbaug,Kalyan,59.175798097896944,0.99833571951231,17:24,Clear,Wednesday,No,988.0,congested,1,1
2022-06-15,Powai,Matunga,16.22,0.91,12:38,Cloudy,Wednesday,No,135.8,congested,0,1
2022-06-02,Powai,Matunga,15.84186372535764,0.8953756984383803,12:35,Cloudy,Wednesday,No,135.8,congested,1,0
2023-03-26,Byculla,Thane,31.82572665594361,0.9345421027982346,18:38,Clear,Wednesday,No,393.8,congested,1,1
2023-03-04,Crawford Market,Bandra,12.328887871856914,0.9057446938310464,09:14,Clear,Wednesday,Gudi Padwa,140.5,congested,1,1
2024-03-02,Vashi,Sion,19.72728239215504,0.9045629185104233,16:30,Cloudy,Wednesday,No,156.9,congested,1,1
2024-07-13,Western Express Highway,Belapur,23.45,0.22,22:29,Clear,Saturday,No,23.2,freeway,0,0
2022-12-25,Lalbaug,Dadar,4.361446469876132,0.5785889647958843,22:11,Clear,Tuesday,No,7.3,freeway,1,0
2022-05-09,Belapur,Worli,29.03,0.93,03:19,Clear,Monday,No,288.5,congested,0,1
2023-12-03,Thane,Kalyan,23.353267161762787,0.8943258801180038,09:24,Rain,Saturday,No,132.9,urban,1,0
2024-10-19,Worli,Kurla,14.010233547790811,0.8956553676597107,19:05,Clear,Thursday,Navratri,66.1,urban,1,0
2023-09-15,Borivali,Ghatkopar,21.82,1.0,05:35,Heavy Rain,Friday,No,285.0,congested,0,1
2023-08-07,Belapur,Mulund,22.80637406079606,0.8147969052374832,13:13,Cloudy,Sunday,No,64.1,urban,1,0
2022-05-02,Powai,Andheri,8.49,0.49,01:49,Clear,Monday,Eid,11.0,freeway,0,0
2024-03-11,Mohammad Ali Road,Kurla,20.44,0.93,19:17,Cloudy,Monday,Ramadan Evenings,306.6,congested,0,1
2023-01-30,Crawford Market,Colaba,8.404867089155882,0.7951633878243008,04:09,Clear,Sunday,No,24.3,urban,1,0
2024-12-25,Bandra Kurla Complex,Airoli,26.97,0.93,09:55,Clear,Wednesday,Christmas/NewYear,295.3,congested,0,1
2022-12-16,Nerul,Dombivli,12.886100921531275,0.8119455630322167,17:06,Clear,Tuesday,No,49.2,urban,1,0
2023-09-20,Girgaon,Lalbaug,7.035677440334594,0.8482859785857723,12:35,Clear,Monday,No,24.1,urban,1,0
2022-04-05,Chembur,Colaba,27.24327715360015,0.7560214681851188,13:59,Cloudy,Sunday,Ramadan Evenings,79.9,urban,1,0
2023-03-18,Kurla,Colaba,22.35469830316074,0.3814693583750997,14:36,Clear,Monday,No,23.4,freeway,1,0
2024-10-18,Airoli,Fort,38.052470974014085,0.8503066053360008,05:00,Heavy Rain,Thursday,Navratri,141.0,urban,1,0
2024-01-30,Vashi,Mohammad Ali Road,30.57,0.33,17:25,Clear,Tuesday,No,36.3,freeway,0,0
2022-10-11,Panvel,Nerul,17.329479258789757,0.932691079241912,04:21,Clear,Monday,Diwali,140.3,congested,1,1
2022-06-08,Nerul,Bhandup,16.96,0.87,20:19,Rain,Wednesday,No,98.1,urban,0,0
2024-10-31,Kalyan,Colaba,64.83,0.75,11:25,Cloudy,Thursday,No,203.0,urban,0,0
2022-06-25,Crawford Market,Chembur,15.083535002899776,0.981297724580778,14:00,Cloudy,Tuesday,No,114.8,congested,1,1
2022-11-21,Eastern Freeway Start,Western Express Highway,11.037867468898366,0.8881156065159441,00:54,Clear,Sunday,No,94.7,congested,1,0
2022-08-18,Dombivli,Chembur,28.9,0.79,10:16,Heavy Rain,Thursday,Janmashtami,103.0,freeway,0,0
2022-10-24,Bandra Kurla Complex,Sion,5.77,0.79,14:53,Cloudy,Monday,Diwali,17.6,urban,0,0
2022-04-17,Nerul,Thane,32.250366326077845,0.9004479918063356,07:48,Cloudy,Monday,Eid,218.4,urban,1,1
2022-05-02,Nerul,Andheri,25.14,0.42,04:45,Storm,Monday,Eid,38.3,freeway,0,0
2022-08-29,Dombivli,Girgaon,49.94,0.46,23:01,Rain,Monday,No,69.8,freeway,0,0
2023-03-22,Andheri,Kurla,8.23,0.76,03:55,Cloudy,Wednesday,Gudi Padwa,26.6,urban,0,0
2022-07-26,Girgaon,Andheri,28.99,0.55,21:55,Rain,Tuesday,No,47.5,freeway,0,0
2023-02-26,Worli,Panvel,44.41455601828908,0.5217976921239599,13:31,Rain,Monday,No,58.5,freeway,1,0
2024-08-20,Panvel,Byculla,36.49,0.84,21:38,Rain,Tuesday,No,140.7,urban,0,0
2024-06-06,Matunga,Andheri,15.09,0.97,19:05,Heavy Rain,Thursday,No,170.2,urban,0,1
2024-07-13,Colaba,Bandra,19.09970829583808,0.924152007665504,20:48,Rain,Sunday,No,113.0,urban,1,1
2022-05-08,Eastern Freeway Start,Marine Lines,22.3,0.78,07:49,Clear,Sunday,No,86.2,urban,0,0
2023-03-13,Goregaon,Mohammad Ali Road,26.34,0.89,05:52,Clear,Monday,No,215.5,congested,0,0
2022-06-23,Airoli,Goregaon,21.943651983694718,0.9940473129713158,08:50,Heavy Rain,Thursday,No,214.2,urban,1,1
2023-02-16,Girgaon,Mulund,37.6698451572197,0.3665908853304698,06:25,Cloudy,Wednesday,Holi,43.7,freeway,1,0
2024-02-20,Lalbaug,Matunga,5.6,0.78,22:40,Cloudy,Tuesday,No,16.9,urban,0,0
2024-05-31,Thane,Bandra Kurla Complex,27.730879865739883,0.3573957537474808,06:43,Rain,Tuesday,No,35.1,freeway,1,0
2023-10-15,Bandra Kurla Complex,Thane,28.84,0.57,23:51,Clear,Sunday,Navratri,48.9,freeway,0,0
2024-07-24,Belapur,Mohammad Ali Road,28.07,0.94,07:49,Rain,Wednesday,No,297.4,congested,0,1
2024-08-26,Ghatkopar,Thane,24.39,0.83,04:03,Rain,Monday,Janmashtami,111.4,urban,0,0
2024-04-05,Crawford Market,Goregaon,30.72,0.79,14:34,Clear,Friday,No,85.4,urban,0,0
2023-11-12,Juhu,Kalyan,50.86,0.45,21:58,Cloudy,Sunday,Diwali,65.6,freeway,0,0
2025-01-05,Malad,Thane,18.9418536289189,0.8356972995609893,08:13,Clear,Monday,No,87.4,urban,1,0
2023-05-08,Airoli,Western Express Highway,23.97189823334928,0.84549304507074,22:14,Rain,Monday,No,91.0,urban,1,0
2023-08-28,Sion,Malad,18.440457389823955,0.9840650289432072,10:28,Heavy Rain,Monday,No,160.6,urban,1,1
2024-06-01,Juhu,Borivali,17.621509720648163,0.9353414980114106,05:25,Heavy Rain,Wednesday,No,264.0,congested,1,1
2023-04-28,Chembur,Marine Lines,20.0400229513551,1.0,05:35,Cloudy,Thursday,No,164.8,congested,1,1
2022-05-02,Crawford Market,Mohammad Ali Road,2.55,1.0,12:26,Storm,Monday,Eid,22.9,urban,0,1
2024-08-03,Dombivli,Girgaon,43.02,0.73,23:17,Heavy Rain,Saturday,No,102.3,freeway,0,0
2023-10-03,CST,Fort,0.98,1.0,18:57,Clear,Tuesday,No,7.2,urban,0,1
2024-04-23,Marine Lines,Chembur,19.15,0.95,09:13,Clear,Tuesday,No,216.0,congested,0,1
2024-12-14,Juhu,Vashi,25.51521353544082,0.4121489551966721,12:19,Cloudy,Friday,No,29.7,freeway,1,0
2024-10-03,Malad,Mulund,16.19,0.74,06:16,Clear,Thursday,Navratri,51.3,urban,0,0
2023-03-23,Borivali,Girgaon,45.19,0.74,02:32,Clear,Thursday,Ramadan Evenings,137.7,urban,0,0
2022-08-18,Powai,Bandra Kurla Complex,14.12,0.77,06:48,Heavy Rain,Thursday,Janmashtami,41.2,freeway,0,0
2022-10-10,Ghatkopar,Marine Lines,19.37,0.77,15:08,Clear,Monday,No,68.8,urban,0,0
2023-09-04,Airoli,Bandra Kurla Complex,28.22,1.0,16:25,Rain,Monday,No,320.2,congested,0,1
2024-06-05,Colaba,Juhu,24.29724449912031,0.8287961557411547,17:15,Clear,Friday,No,112.7,urban,1,0
2024-02-26,Powai,Dombivli,30.205951321140244,0.2021620682687623,01:13,Clear,Saturday,No,29.4,freeway,1,0
2024-07-23,Fort,Dadar,12.03453505012666,0.9586399926642144,19:16,Heavy Rain,Saturday,No,183.8,congested,1,1
2024-10-28,Byculla,Bandra Kurla Complex,9.92,0.77,23:14,Clear,Monday,No,31.7,urban,0,0
2023-06-10,Vashi,Juhu,22.45807481586161,0.8311597052360263,18:10,Rain,Tuesday,No,115.2,urban,1,0
2023-10-11,Mohammad Ali Road,Goregaon,33.88870362525154,0.8700340686012696,21:42,Cloudy,Sunday,Navratri,257.9,congested,1,0
2024-08-15,Andheri,Thane,23.72,0.83,05:51,Clear,Thursday,Independence Day,78.2,urban,0,0
2023-03-08,Kurla,Fort,22.48,1.0,17:17,Heavy Rain,Wednesday,Holi,284.2,congested,0,1
2022-03-18,Matunga,Lalbaug,5.56,0.93,21:21,Clear,Friday,No,42.2,congested,0,1
2024-05-21,Sion,Belapur,22.09487878841226,0.9749668496015124,04:46,Clear,Wednesday,No,170.1,congested,1,1
2023-08-09,Colaba,Marine Lines,5.09605886092217,0.9519157147022368,15:34,Heavy Rain,Thursday,No,45.6,urban,1,1
2023-05-11,Dadar,Belapur,27.48504010255253,0.9222567093820732,00:27,Clear,Monday,No,240.3,congested,1,1
2023-03-03,Eastern Freeway Start,Colaba,25.88260512697295,0.9516558976891236,17:29,Clear,Friday,No,258.7,congested,1,1
2023-12-25,Marine Lines,Mohammad Ali Road,2.15,0.9,09:43,Fog,Monday,Christmas/NewYear,21.0,urban,0,1
2023-09-04,Western Express Highway,Belapur,27.017331963109783,0.9272313174105736,03:10,Rain,Tuesday,Independence Day,300.4,congested,1,1
2023-04-21,Matunga,Juhu,14.16,0.96,17:54,Cloudy,Friday,Eid,153.1,congested,0,1
2024-05-02,Sion,Panvel,31.28,0.44,18:59,Clear,Thursday,No,41.0,freeway,0,0
2023-11-20,Panvel,Worli,42.96,0.46,10:27,Clear,Monday,No,59.7,freeway,0,0
2024-03-11,Thane,Andheri,24.62110580765636,0.8497864943461445,20:38,Cloudy,Tuesday,No,109.2,urban,1,0
2022-12-04,Goregaon,Bandra Kurla Complex,12.78729989484859,0.7674029642122824,06:13,Clear,Saturday,No,37.1,urban,1,0
2022-05-02,Goregaon,Bhandup,15.97,0.91,07:25,Clear,Monday,Eid,98.1,urban,0,1
2023-09-19,Lalbaug,Chembur,14.34,1.0,22:43,Heavy Rain,Tuesday,Ganesh Chaturthi,119.7,urban,0,1
2023-04-07,Colaba,Mohammad Ali Road,6.592263859597121,0.8037423259670521,20:40,Clear,Sunday,No,23.1,urban,1,0
2022-06-29,Kalyan,Vashi,32.62971809557368,0.8866545303507624,18:56,Clear,Wednesday,No,150.0,urban,1,0
2022-01-29,CST,Mohammad Ali Road,3.663498262084796,0.987702990234464,05:56,Fog,Monday,No,43.1,congested,1,1
2023-10-04,Lalbaug,Belapur,29.72994226229522,0.3633556826857384,06:23,Clear,Tuesday,No,34.1,freeway,1,0
2024-11-03,Lalbaug,CST,7.770684244039755,1.0,01:19,Rain,Saturday,No,82.2,congested,1,1
